,MAE,S,R2,R2(adj),numdata,similarity,maxerr,burn_acc,run_acc
0,0.09213107945102667,0.07146182938258477,0.583760802027681,0.5735043946854472,1000,0.0,0.39487973412387134,0.3462,0.35337
1,0.08606441581295253,0.06697980818358257,0.6589708527109106,0.6509779820713226,1050,928.5138760847931,0.4031998009142894,0.3563,0.34851
2,0.08322041637368263,0.06931710914733934,0.6722543370768606,0.6649304116484105,1100,1521.318019142067,0.4767915436654706,0.3509,0.34794
3,0.07385487218221713,0.05919909487654102,0.7635899070981883,0.7585420047586479,1150,1681.6487180494232,0.3426050064019608,0.3305,0.34617
4,0.0900039034008409,0.07067179203337415,0.6247634933174149,0.6170925596203263,1200,996.7987969594326,0.3822934120644528,0.346,0.34112
5,0.0787216396133074,0.06526114608791762,0.7335883703773118,0.7283646129337298,1250,465.98938268329744,0.37063453190690177,0.3801,0.34761
6,0.07222403680870498,0.06454997431425107,0.7493137016492635,0.7445911968137708,1300,1974.477793947439,0.3293245121131758,0.323,0.33719
7,0.07642904666984898,0.06040725279453834,0.7437007963122138,0.7390548892967252,1350,1553.8648675787472,0.3677464801442665,0.3464,0.34017
8,0.07057492750537953,0.06123479670132099,0.7655759440355283,0.7614812006999043,1400,2806.4181532572347,0.3663852127644004,0.3488,0.34593
9,0.09490767837540748,0.07409502255396183,0.6183695520407231,0.6119375781987128,1450,3326.7097692735715,0.4075855637603304,0.3541,0.34184
10,0.08426465905264081,0.06887704608552238,0.6940805761394402,0.6890995271756319,1500,180.00166357279153,0.3587964853105018,0.3427,0.34645
11,0.07642240484746989,0.06595210739527371,0.7212553985706691,0.7168657198080025,1550,119.78909453629099,0.39056268049407883,0.3367,0.34392
12,0.07273515412670738,0.0630412437468551,0.7436581471672649,0.739749503922039,1600,440.82037353277275,0.44718425083815094,0.3177,0.33249
13,0.07090943517742766,0.059452119752265026,0.7663642148241498,0.7629114692304181,1650,1234.2076507308116,0.3687758306604794,0.3458,0.32958
14,0.0956586519001344,0.0724781884507707,0.6011223646669973,0.5954036888916138,1700,112.06420667091759,0.4128590439979971,0.3194,0.33638
15,0.08435436625865253,0.07027465299005287,0.6704575862021152,0.665869988794256,1750,452.83194365987896,0.42309579646738127,0.3412,0.33069
16,0.07561099313444171,0.06340703786672507,0.7292594972615143,0.7255967170666306,1800,659.8889825555332,0.33104340156283685,0.3615,0.33478
17,0.07107841535339043,0.06131279352132355,0.7642757897772527,0.7611741554322167,1850,361.42091148978056,0.3121602853525327,0.3206,0.34054
18,0.07158820442235897,0.05885151195427026,0.7602296589684139,0.7571589608975717,1900,479.49644150596686,0.3246949397973308,0.3365,0.33468
19,0.09476933575041252,0.07089665919898978,0.6049184897849629,0.5999902380982889,1950,173.76684026773896,0.45474723373359005,0.3121,0.3395
20,0.08538975186477697,0.06668440374227758,0.6824145434426157,0.6785533220862949,2000,761.8942971447293,0.37644390586442233,0.357,0.3376
