,MAE,S,R2,R2(adj),numdata,maxerr,burn_acc,run_acc
236,0.02922776371585218,0.035545264683005,0.9350342584302878,0.9349121997331159,12800,0.33657247395128354,0.2374,0.2628
237,0.029166003505732032,0.035306575546460724,0.9361009035015726,0.9359813169204776,12850,0.3418003997095077,0.2862,0.2509
238,0.02917091301040889,0.03560781633059242,0.9357615925632675,0.93564183788108,12900,0.34022798522112885,0.2571,0.25058
239,0.028985538874762223,0.03520792301250448,0.9375241384143055,0.9374081201012401,12950,0.3356694088862636,0.2318,0.251
240,0.029018641651715124,0.03531077025614806,0.9358055602521852,0.9356868099397182,13000,0.3508825110518815,0.2586,0.25476
241,0.02917812405432666,0.03537182264793716,0.9363133111935638,0.9361959524304069,13050,0.3433219942614115,0.2624,0.26618
242,0.029255625071128652,0.0355260190434883,0.9356255795039256,0.9355074070936529,13100,0.3353085432853372,0.2302,0.24596
243,0.0288501121098352,0.03525876397617544,0.9368995022687223,0.9367841097096282,13150,0.3215478741032288,0.2365,0.27234
244,0.02873848246185019,0.03560008607870131,0.9362571836850462,0.9361410589247943,13200,0.342727132688205,0.254,0.24958
245,0.02885917955030932,0.035022514560512356,0.9376234276344727,0.9375102215140271,13250,0.3321482360536959,0.2777,0.26736
246,0.02887396463520888,0.03529497967493962,0.9366497674054816,0.9365352272832675,13300,0.3254128724398201,0.2644,0.24906
247,0.029448603160261825,0.03532313771234476,0.9353320649504789,0.9352155811287146,13350,0.329348474045131,0.2412,0.25556
248,0.029398963974648716,0.03543857361417865,0.9354554994729648,0.935339672643845,13400,0.3324118870007272,0.2471,0.26736
249,0.029089649744657324,0.03524564767047148,0.9365312664592155,0.9364177943491903,13450,0.332526982743382,0.269,0.27736
250,0.028897373586511836,0.035363357130292414,0.9357348827061668,0.9356204131488673,13500,0.3190010704309477,0.2698,0.2671
251,0.028891211625217662,0.03522625883060168,0.9369263749520711,0.9368144430531395,13550,0.3273251677799426,0.2518,0.25656
252,0.02887242876229567,0.03572367345888143,0.9361497162436256,0.9360368234478283,13600,0.32637781047714387,0.2454,0.2663
253,0.029069447704656796,0.03572059452987001,0.9355158069544195,0.9354022117817027,13650,0.3233571144391624,0.2648,0.2774
254,0.02873652898231359,0.03517986876858473,0.9379288285373613,0.9378198839626133,13700,0.32315655790498854,0.2437,0.2675
255,0.02881084391238839,0.03496857078171241,0.9374197101263486,0.9373102721376451,13750,0.327928479318946,0.2508,0.2582
256,0.02896535328407708,0.035642228592160624,0.9353670500307958,0.9352544327228779,13800,0.33036024731941904,0.2478,0.26272
257,0.028808738762756043,0.035261858792419234,0.9369344542535698,0.9368249654588712,13850,0.3301904670824721,0.2489,0.25456
258,0.029244133993272164,0.03493370846654175,0.9368509629915159,0.9367417243517434,13900,0.33535994390666535,0.253,0.25938
259,0.028715976566996274,0.035232361147598486,0.9368312991114591,0.9367224188456358,13950,0.324500396275453,0.2336,0.26632
260,0.028951754378144005,0.03505421071775843,0.9367405206349844,0.9366318740409697,14000,0.32812338919351147,0.267,0.27688
261,0.028837056205219164,0.03527928342110097,0.9366951223517813,0.9365867854248305,14050,0.3199338905887973,0.232,0.23672
262,0.02863682212313887,0.0348133030794668,0.9383042222407686,0.9381990141502313,14100,0.31539553810572063,0.2708,0.25506
263,0.02932644274434464,0.03543901745709749,0.9353637314001867,0.9352538991680714,14150,0.32029449588272063,0.2566,0.2724
264,0.02897728220944283,0.03512814356891017,0.936829040887851,0.9367220772206653,14200,0.32635722620027396,0.2717,0.26456
265,0.02881820272228365,0.03545016108357177,0.9360214403948678,0.9359134900693248,14250,0.33078943349688317,0.2382,0.2715
266,0.02936277443655451,0.03559661639052211,0.9349425978556658,0.9348332117234349,14300,0.33241174683541785,0.2386,0.25764
267,0.02888226175457036,0.03505463176765579,0.9372721046688347,0.9371670034758754,14350,0.33024833533164977,0.2453,0.25436
268,0.028811288837681966,0.03514922142877264,0.937587108875344,0.9374828992338391,14400,0.335936543942415,0.2493,0.25686
269,0.028608920222286786,0.03464497625482929,0.9380223554537223,0.9379192312531461,14450,0.32634385042503145,0.2332,0.25318
270,0.028572896716246167,0.03491191518764266,0.937903286367432,0.9378003209724354,14500,0.3163521463189415,0.2627,0.2571
271,0.02891632791212748,0.0354750502010665,0.9362449800217183,0.9361396288457696,14550,0.31746347354381665,0.258,0.25422
272,0.02887107628307072,0.035271529106035815,0.9362777538777253,0.9361728181080715,14600,0.31824005289522395,0.2515,0.261
