,MAE,S,R2,R2(adj),numdata,maxerr,burn_acc,run_acc
0,0.0907322329811881,0.06851890062949943,0.5446283972969022,0.5334077417888176,1000,0.38337405249441253,0.3481,0.36023
1,0.0872979723471962,0.06645053750274407,0.602613954878419,0.5933002194458818,1050,0.38782412885413314,0.3647,0.35465
2,0.08803245033371565,0.06558011602186466,0.6045750900108978,0.5957387791731525,1100,0.3149263038386222,0.3756,0.3517
3,0.08709305577028757,0.0684104020489866,0.6095603392437154,0.6012235493343285,1150,0.35315630175432233,0.3286,0.34647
4,0.08705149176968273,0.06668189927094319,0.5976689314502931,0.58944410551742,1200,0.330429565128208,0.3237,0.35685
5,0.08711118504653917,0.06481398365550323,0.6379715181323149,0.6308729204486347,1250,0.371174187415495,0.3493,0.3486
6,0.08744872916223886,0.06499846222793618,0.6527287855160714,0.6461867846152752,1300,0.35214898060543376,0.3293,0.3467
7,0.09056051164594807,0.07197541625128391,0.5802726878356523,0.572664337766208,1350,0.3980279866952916,0.3506,0.34495
8,0.08862651724266604,0.06883047901743636,0.6148547057643231,0.6081272770440493,1400,0.4569583525762766,0.3486,0.34806
9,0.08826124893688338,0.06796147441200806,0.6237168819909893,0.6173750316874667,1450,0.35799584573753307,0.3494,0.34842
10,0.09092120395847636,0.06998310422876391,0.6097626895521671,0.603408757767399,1500,0.3502530513132154,0.3555,0.33886
11,0.09070478535846882,0.0678989820668934,0.6334829834761202,0.6277110619560591,1550,0.4306359046542729,0.3339,0.33737
12,0.09140850685526697,0.06960559024182764,0.6203859297615406,0.6145976593131779,1600,0.3759794879039624,0.3466,0.34396
13,0.08950407886837806,0.06690888008911444,0.6352936933916749,0.6299039450181527,1650,0.3819118251339677,0.3247,0.35049
14,0.08865904495661203,0.06706197365618115,0.6427453834379484,0.6376234534513957,1700,0.3679402708913415,0.3308,0.33978
15,0.08750265524429385,0.06847249854696252,0.6382286163574997,0.6331923557963512,1750,0.4374746588489782,0.3557,0.33549
16,0.08830866959282611,0.06968717195673915,0.6371833072348196,0.6322748514138702,1800,0.4695568111253926,0.3316,0.33834
17,0.09152885569410801,0.0681178660097645,0.6244507598986868,0.6195093225289328,1850,0.42722330654573093,0.3525,0.34775
18,0.09263709722740597,0.0707006220820569,0.6014473104032628,0.5963431137382033,1900,0.4535607023526428,0.3671,0.3247
19,0.09009175268170323,0.06699035914579986,0.6414177801376328,0.6369448210541107,1950,0.37854870810776287,0.3291,0.33471
20,0.0918515504594881,0.06824073943738536,0.6212760831068435,0.616671537004799,2000,0.40061048451691184,0.3411,0.33659
21,0.09071387783047935,0.06722826011902783,0.6472241945792444,0.6430410822620023,2050,0.4079423079733757,0.3414,0.35181
22,0.09212711771750151,0.0686706699608142,0.6194684707322973,0.615065020056104,2100,0.41251708835027245,0.3517,0.34402
23,0.0897735508276008,0.06616502327708942,0.6425842254676353,0.6385456291452356,2150,0.37824712699046437,0.3649,0.34022
24,0.09189516868574008,0.06807378073567388,0.6349404572971502,0.6309103611495567,2200,0.3846539366676346,0.3604,0.33583
25,0.09415225365958331,0.06791025331656336,0.6295225296577092,0.6255245713446629,2250,0.3427824349201965,0.3051,0.33514
26,0.0920316686181462,0.06750609490028343,0.6406922103941342,0.6369000437492174,2300,0.34779173922001627,0.3376,0.33215
27,0.09347917622745869,0.07014328440538994,0.6242805680557101,0.6204005050752183,2350,0.3613336078926096,0.3257,0.33149
28,0.09761566747756523,0.07128424674410563,0.5888296292967734,0.5846728942938764,2400,0.3682010777080761,0.3132,0.34599
29,0.0912316376388109,0.06672931341061396,0.6277086622646786,0.624022609415814,2450,0.33699838791212244,0.3452,0.33347
30,0.08858574256793735,0.06736045060706516,0.6353565589203023,0.6318191932833126,2500,0.37138428047184324,0.3364,0.33921
31,0.08875932596572163,0.06672382899327142,0.6502472877492322,0.6469215884251363,2550,0.3635646202448789,0.3033,0.31997
32,0.09321594829372332,0.0682585259825123,0.6107866334818742,0.6071576044234301,2600,0.37227828335400914,0.3611,0.33049
33,0.08868157240976426,0.06557267734859144,0.6395985128474903,0.6363021577820709,2650,0.4006055037869397,0.3415,0.3215
34,0.09134013491225675,0.06736788391255641,0.624387014092298,0.6210157681454824,2700,0.4093300152435557,0.3166,0.33604
35,0.08993183959833467,0.06906278787809696,0.6309100619457705,0.6276581682184205,2750,0.38688751312773206,0.3271,0.3363
36,0.08750680309574681,0.06536004307089632,0.6417809832560499,0.6386817560023171,2800,0.4280304543039851,0.3322,0.34036
37,0.08879646984742119,0.06732559155004858,0.6332751170924877,0.630158475028118,2850,0.35778819794852124,0.3489,0.3353
38,0.08657963161991361,0.06473728731928514,0.6577351174366839,0.6548769555781175,2900,0.37303221105919304,0.3659,0.33883
39,0.08932799066198736,0.06748605459902128,0.6330870583672382,0.6300754610350952,2950,0.42188451435239904,0.3479,0.32403
40,0.08818066850395326,0.06744912825954723,0.6504548385660256,0.6476340302693157,3000,0.3625821470982098,0.3317,0.32763
41,0.08953574254949107,0.06687332450783552,0.6364748009665918,0.6335896803393426,3050,0.3945932385102373,0.3232,0.31931
42,0.08945229107289654,0.06637998850884616,0.6353767454244904,0.6325299796112789,3100,0.3571306781660961,0.2987,0.33004
43,0.0867987816225863,0.06507121301247619,0.6604641557801292,0.6578556857861224,3150,0.37779295004059654,0.3442,0.33295
44,0.08796501979153022,0.06660095548488448,0.6430600201278562,0.6403610410740026,3200,0.4326405584532078,0.3099,0.33592
45,0.08631373701569708,0.06709059866136105,0.655083406898169,0.6525157895797931,3250,0.40162781515788093,0.2946,0.3237
46,0.08966677274040027,0.06580788157553069,0.6373537706984673,0.6346953988282056,3300,0.40695700752559216,0.3543,0.32815
47,0.08729808561265512,0.06647706207204228,0.644804280843803,0.6422396908137944,3350,0.3853383107084326,0.3235,0.32953
48,0.08492948780132682,0.06336729428563675,0.6643938931959787,0.6620066535506626,3400,0.3710973772533397,0.3388,0.32619
49,0.08790930966608872,0.06646168105917108,0.6440634444269899,0.6415685620281137,3450,0.37877188779264603,0.3352,0.3126
50,0.08781033638365926,0.0641141892539017,0.6493143648990181,0.6468916662109283,3500,0.3395247086012635,0.3216,0.32762
51,0.0864723380443717,0.06559249424554103,0.6573139416643999,0.6549800979072903,3550,0.41367001353837307,0.335,0.32396
52,0.08779595785990363,0.06595020965048347,0.6452272161449244,0.6428448583350415,3600,0.37373175659980284,0.3253,0.32764
53,0.0872448912287676,0.06537390653678386,0.6504054355888456,0.6480902397980433,3650,0.38141112861092713,0.3326,0.3313
54,0.08661600755578441,0.06524812705048604,0.6575545994345192,0.655317612604478,3700,0.39881008902564186,0.3156,0.33335
55,0.08561708886014636,0.06489007088781937,0.6563780888368842,0.6541635545007094,3750,0.5050355985358816,0.3052,0.3298
56,0.08614593807240142,0.06480640040407729,0.6588121235655694,0.6566424073402313,3800,0.35923868616756605,0.3206,0.32293
57,0.08628094514961358,0.06439750468245016,0.6597736673358818,0.6576383556246008,3850,0.37614649407004586,0.321,0.33122
58,0.0846690796078955,0.06456127618275226,0.6654048287663001,0.6633319624499323,3900,0.39377878596904176,0.3295,0.32202
59,0.08676155245808806,0.06521791981278,0.6514491461796639,0.6493173366761755,3950,0.35485590604000994,0.3234,0.31765
60,0.08407984640440921,0.06265036144273661,0.6699641828706473,0.667971012359549,4000,0.37399241534974415,0.3107,0.32582
61,0.08754442745003548,0.06548198521002477,0.6338602181913315,0.6316764819181189,4050,0.40366951356240244,0.3216,0.32022
62,0.084600909306228,0.06164805784565543,0.6691053122005459,0.667156006234128,4100,0.420538159989684,0.3157,0.3321
63,0.08636240953024926,0.06346313781203534,0.6549129782185804,0.6529047123304248,4150,0.42749469211669033,0.3004,0.31838
64,0.08598062464755363,0.06437528990456655,0.6552403436246699,0.6532580168989852,4200,0.39575485348945255,0.3351,0.3256
65,0.08283644924514683,0.06244184290350623,0.6796646391620987,0.6778445518846106,4250,0.3433633368705341,0.3265,0.31513
66,0.08540344640867775,0.06376822703180554,0.6657528124917536,0.6638758980087873,4300,0.34891695515610976,0.3336,0.32255
67,0.08578414636420079,0.06476127253842462,0.6645497626501852,0.6626878741912593,4350,0.4678615348268941,0.3187,0.32017
