,MAE,S,R2,R2(adj),numdata,similarity,E_MAE,E_S,E_R2,E_R2(adj),maxerr,burn_acc,run_acc
145,0.002605733440956324,0.0022969635906145746,0.9995674900839238,0.999566449354228,10000,268.31153462939784,0.01900390047908881,0.01603890819135865,0.9784463802815481,0.9784204822704715,0.019296567270369658,0.2675,0.26862
146,0.0024864619154735036,0.002236661101094529,0.9995976011651249,0.9995966328904069,10000,190.94087820947988,0.018894312536108224,0.01596298534322197,0.9782901047279738,0.9782640189421258,0.02347738235374719,0.2793,0.28466
147,0.0027768441051208236,0.002422679336215766,0.9995170463560428,0.9995158842458106,10000,43.14628247637574,0.019107627123928696,0.015914567560748973,0.977914114135689,0.9778875765738213,0.022588535997865367,0.2836,0.28334
148,0.002595103133338487,0.002298444159964736,0.9995671828519075,0.9995661413829328,10000,372.6655685095009,0.019309122337759683,0.01589935458805196,0.9781747747807383,0.9781485504188047,0.024748332682939633,0.2797,0.2733
149,0.002730269432871638,0.0023668350101297263,0.9995340102058281,0.9995328889149658,10000,358.635154231494,0.019198732741784685,0.015817128829319675,0.9786635033099165,0.9786378661856268,0.02754408380422002,0.2795,0.27482
150,0.0026730235150156595,0.0024393996481982664,0.9995237437799429,0.9995225977854291,10000,103.80375951124896,0.019036847463210396,0.015902702902994503,0.9779542932691258,0.9779278039849794,0.028497880343185233,0.2606,0.27444
151,0.0027582271703316804,0.0024071831823794343,0.99951898601203,0.9995178285691073,10000,286.51099402768807,0.01946689722698037,0.016309887058943113,0.9776781255857899,0.9776513044690411,0.02778291634303154,0.2575,0.28602
152,0.0027759386930680135,0.0023971614971079907,0.9995092259245514,0.999508044996357,10000,233.37592070205568,0.01939187575893817,0.01621008596353606,0.9774616043677565,0.9774345230873333,0.020388907630771724,0.2972,0.28896
153,0.00269727180216988,0.002343148764951637,0.9995264144732204,0.999525274905079,10000,263.4347979031642,0.01903707268853647,0.016218411176393947,0.9776854069706689,0.9776585946029557,0.026326541819289173,0.2851,0.28462
154,0.0026975064303872962,0.002370368263011764,0.9995359486377521,0.9995348320112538,10000,99.58670901421952,0.01918858525333814,0.016160027915534912,0.9783804150352843,0.9783544377628725,0.02276859366891615,0.2766,0.28958
155,0.00246396686497532,0.002252286946011131,0.9995980423602169,0.9995970751471274,10000,552.5163819180984,0.01925778309901106,0.016065503893924565,0.9779393134258023,0.9779128061424449,0.03069951309345964,0.2847,0.27368
156,0.0025599924968410697,0.0022363912676473226,0.999580654814396,0.9995796457624153,10000,110.95111504662019,0.01884569198776883,0.01570746617897976,0.9788396502665947,0.9788142247938,0.025763008115978314,0.2816,0.27022
157,0.002630436290726987,0.002229994720395513,0.9995712133393411,0.999570181568752,10000,365.42182382304946,0.019277676416500824,0.016045177160244433,0.9786569130428924,0.9786312679999881,0.01955539277725915,0.2887,0.28436
158,0.002555529097619453,0.0022417374727482704,0.9995897284301369,0.999588741211601,10000,179.46554173182034,0.019659833380661296,0.016386911592762884,0.9770739959605261,0.977046448944558,0.027874821635940572,0.286,0.28392
159,0.002572384897192533,0.002328166239885426,0.9995569927663996,0.9995559267774677,10000,322.6559791928269,0.018916923489445674,0.016093947701157456,0.9782955306557033,0.978269451389444,0.030854706155184264,0.2835,0.27518
160,0.0026001286437374047,0.0023529459852194637,0.9995625278539875,0.9995614751838948,10000,439.8868483004568,0.018955232398011168,0.015630256252668142,0.9787705166792251,0.9787450081381368,0.030725546456595754,0.2719,0.28364
161,0.0029411852172183898,0.0027056150923841695,0.9994162000966855,0.9994147953245099,10000,334.79008264978626,0.019499808676336085,0.01653521777895051,0.9766749192462169,0.9766468927148215,0.04122355307511316,0.2733,0.26968
162,0.002477644829483377,0.0023263097748474734,0.9995744035733893,0.9995733794793209,10000,509.59441373457145,0.01899726476915674,0.016049159846399225,0.9784580883422941,0.9784322043991788,0.04719982739022743,0.2912,0.27294
163,0.002672242252926948,0.002370224752922325,0.9995286753601889,0.9995275412323209,10000,609.4325904625682,0.018910459974886662,0.015802786404281136,0.9783666846972658,0.9783406909270013,0.02537386133735231,0.2699,0.2716
164,0.0028899724573900527,0.002672604129461463,0.9994345695024012,0.9994332089317232,10000,59.31210651963399,0.0194028756775519,0.016038159461932336,0.9776277200573839,0.977600838375266,0.06621035552109245,0.2884,0.28486
165,0.0026962786657650293,0.002564028808001986,0.9994902380482437,0.999489011430353,10000,65.98719880292724,0.01965753324701001,0.016246415747106707,0.9771816119296252,0.9771541942209194,0.06278678975871244,0.2704,0.27364
166,0.002672308248234434,0.0024095063156509716,0.9995296470454978,0.9995285152557537,10000,422.7474839230826,0.0193499485301811,0.016120927516564913,0.9772131143829028,0.9771857345263488,0.027510162384713932,0.2775,0.2802
167,0.002492865198520546,0.002251703450754303,0.9995900110548162,0.9995890245163477,10000,383.980745706474,0.019297069630551566,0.016294036844297838,0.9775030850145265,0.9774760535756735,0.03020352216449307,0.2928,0.2707
168,0.0026097010214691935,0.002431515511499358,0.9995477120623997,0.9995466237417157,10000,119.80466124648673,0.019512576585965082,0.016319864666106753,0.9768801866599974,0.9768524067701326,0.030728221147354295,0.2752,0.2796
169,0.003196443073174226,0.002806485282418766,0.9993416762605895,0.9993400921649662,10000,325.8033696363664,0.01965001841866437,0.01650657670814967,0.9772141570380386,0.9771867784342994,0.027184775762415625,0.286,0.27574
170,0.002387163574846342,0.0021555712508881,0.9996214167023021,0.9996205057338697,10000,273.1884123618725,0.01941128385559014,0.015903131585797474,0.9781075255450782,0.9780812203790163,0.021447002719929276,0.2847,0.28406
171,0.00245977729317405,0.002226066738676073,0.9995970594490822,0.9995960898708566,10000,462.07500711011926,0.01932891465597052,0.016156264693849728,0.9775338743832512,0.9775068799397346,0.02127648589508979,0.2823,0.26808
172,0.002513446218763947,0.0023978631186000053,0.999567888846681,0.9995668490765106,10000,617.173963057342,0.01936221281381123,0.01631170759661571,0.9774984643787624,0.9774714273879288,0.06017667445719099,0.2775,0.27882
173,0.002602235763857604,0.0023174914763746586,0.9995562879408902,0.9995552202559675,10000,6.12099398304077,0.019318571069474925,0.016315648214874013,0.9776368377498132,0.9776099670231684,0.025919356660826676,0.2758,0.28112
174,0.00250687208807201,0.002269342104765612,0.9995965545162818,0.9995955837230586,10000,375.1250239100195,0.019572893864637637,0.01643574372032589,0.9770975893304383,0.9770700706633677,0.030339795171985928,0.2803,0.28488
