,MAE,S,R2,R2(adj),numdata,similarity,E_MAE,E_S,E_R2,E_R2(adj),maxerr,burn_acc,run_acc
63,0.007653518181118698,0.01003649263228228,0.9956931296784993,0.9956867781430614,16300,476.29773435929064,0.016009375369210908,0.013306067381321231,0.9846216929555281,0.984603214965688,0.15624635604701953,0.2589,0.25664
64,0.0070839428266625684,0.009552392908661906,0.9962187689671629,0.9962132266717685,16400,493.7692969091851,0.015808599217013882,0.01322462680606721,0.9850035113439133,0.9849854921325512,0.1681594033349586,0.261,0.25154
65,0.0072598406080055765,0.00950879059331843,0.996224548252189,0.9962190480189762,16500,326.1489337561344,0.015561878759835224,0.012901113098673792,0.9856598812216748,0.9856426506794359,0.2157084472524763,0.2516,0.25686
66,0.007594018595414685,0.010030951140366144,0.9957600429133495,0.9957539032385528,16600,492.0361181255815,0.015920874119340976,0.013327779394272266,0.9849170491525786,0.9848989260515303,0.20234087409178825,0.2433,0.2546
67,0.007177953394211352,0.009547379789113223,0.9961789085279695,0.9961734085762286,16700,428.71983082322083,0.015699904484409874,0.01310144012360237,0.985479706303993,0.9854622592704141,0.17466310774219074,0.2676,0.26254
68,0.007364049048368171,0.009411495674195287,0.9962255730066433,0.9962201726103251,16800,617.8841289615204,0.01580449236079843,0.012902714724824087,0.9854972089338117,0.9854797829307282,0.1433616052921558,0.2579,0.25446
69,0.007322681935335868,0.00941692528726155,0.9962006262990754,0.9961952224251378,16900,833.2862010228233,0.015310506722907808,0.012702466871243852,0.9860271431470645,0.9860103538928104,0.1553167864144207,0.2567,0.2546
70,0.007259941388571555,0.010076784123144496,0.9959815501493324,0.9959758683538561,17000,683.84063983413,0.015336993216336197,0.012794876615932333,0.985868905908902,0.9858519265227907,0.24851972079597284,0.2635,0.2665
71,0.007701795838974417,0.010034359289359236,0.9958368876009064,0.9958310357385672,17100,623.5497495934185,0.016008412266533375,0.0134630101378275,0.9847093972416611,0.9846910246339611,0.24888923860720658,0.2564,0.26244
72,0.00710162498493248,0.00981880836657226,0.9961137542446872,0.9961083233667247,17200,778.4006580392129,0.015497569950459504,0.013074019428696767,0.9853433184614945,0.9853257075494626,0.25847853875140414,0.2428,0.24676
73,0.007311387336457167,0.009478427031344156,0.9961501714746362,0.9961448226333367,17300,677.1133102754809,0.015538771681874874,0.012972591994361331,0.9855444488006437,0.9855270795591906,0.12460184759122717,0.2555,0.2637
74,0.007391357979499808,0.009938721665242166,0.9959753583041978,0.995969798766918,17400,307.4317086821808,0.015518400230450157,0.012768669336713596,0.9854676060676393,0.9854501444948759,0.16656892081920893,0.2452,0.24798
75,0.0072906162412557035,0.010009198307415366,0.9960398976121034,0.9960344585336263,17500,687.9237745091693,0.01557743673345813,0.01297145880462524,0.9857732242328815,0.9857561298793013,0.17167714370824216,0.2499,0.24792
76,0.00724770436774196,0.009710209888867187,0.9961589805408636,0.9961537350380174,17600,747.4222359561478,0.015440176871953034,0.012691337470402561,0.9859942099688286,0.985977381143318,0.16554797817725764,0.242,0.24244
77,0.007331878451436649,0.009844103095533274,0.9961368641126351,0.996131618256502,17700,1277.635504928461,0.015763436522560362,0.013054759563341603,0.985059793530979,0.985041841946156,0.17982176868607724,0.2633,0.25878
78,0.00717611156238671,0.00947629848458604,0.996311751738361,0.9963067715449166,17800,974.4777279683959,0.015671998547741855,0.012977708565950341,0.9856672824662724,0.9856500608170881,0.18033507650135028,0.2588,0.26466
79,0.007383663454212569,0.009805245701512866,0.996041368684415,0.9960360533016481,17900,817.6030445259149,0.015581442437467792,0.01294353717860461,0.9856144976999973,0.9855972126266419,0.17444497226947564,0.2391,0.25118
