,MAE,S,R2,R2(adj),numdata,similarity,E_MAE,E_S,E_R2,E_R2(adj),maxerr,burn_acc,run_acc
49,0.0038912770937366546,0.003521254242631514,0.9990542832383533,0.9990520076014695,10000,54.72051222748323,0.015931554943104106,0.01316980566928304,0.9851543119486201,0.9851364739335389,0.0353847682615438,0.2689,0.28258
50,0.0037734254054049964,0.0033401128310850824,0.9991066543482671,0.9991045047296946,10000,359.05429519111544,0.01573795166412576,0.013088308940332785,0.9851417502800801,0.9851238971713749,0.03325360516696807,0.2993,0.27952
51,0.004227728742343854,0.0036489398523027847,0.9989113582849384,0.9989087387339898,10000,419.75944081066996,0.01631708075894924,0.013696837646577411,0.9841233349830252,0.9841042581851676,0.03283116213158943,0.2969,0.27948
52,0.0038549525978078796,0.003408879949241811,0.9990595515259165,0.9990572885658826,10000,258.1306690311405,0.01624709291703822,0.013523605355069038,0.9843192720834218,0.9843004307161445,0.03444787692121276,0.2956,0.2764
53,0.0037135021255202093,0.0032875158578982338,0.9991367567167674,0.9991346795322078,10000,208.8208203463946,0.015751410693324783,0.013146082298650255,0.9853555746678503,0.9853379784824107,0.03373826568142224,0.2743,0.27838
54,0.003802835362413215,0.003360115212739896,0.9990891594245305,0.9990869677086881,10000,204.32239056335956,0.01600358655512533,0.013356909258615586,0.9847402186888524,0.9847218831150331,0.02810034627833513,0.2592,0.28772
55,0.0038351892986186065,0.0033530534460298714,0.9990668938481643,0.9990646485556393,10000,121.00657160498463,0.01586872255702305,0.013279661883395152,0.9850376200658804,0.9850196418382635,0.028413041863320276,0.2779,0.28362
56,0.003419512204376082,0.0030202709732217057,0.9992566849223797,0.9992548963158164,10000,79.97572082658371,0.015901862830606267,0.01361125443428872,0.9844116473045204,0.9843929169318012,0.030297287159922748,0.278,0.28738
57,0.0034479678833066393,0.0031135874683642156,0.9992430593353901,0.9992412379421727,10000,18.70685687136224,0.016251964035939093,0.013820247529553001,0.9841251277745503,0.984106053130843,0.028043960301642024,0.2791,0.27994
58,0.0037121126214732457,0.0033297045733821817,0.9991398171856193,0.999137747365332,10000,133.7171891747069,0.016056976828691505,0.01364673457557914,0.9847885741107659,0.9847702966389855,0.03361116676436726,0.2798,0.28452
59,0.0031866853651375373,0.002831701164336527,0.9993647492411447,0.9993632206650256,10000,153.73661230526704,0.015953000077630595,0.013482050286968946,0.9846165731912684,0.9845980890497139,0.028410326087067728,0.3035,0.2707
60,0.0034390610112510216,0.0030123866813044457,0.9992540734459997,0.999252278555555,10000,82.10436455823861,0.01610640639391747,0.013671071843047987,0.9844483477825802,0.984429661507762,0.02393612245449539,0.2871,0.27414
61,0.003439551120841412,0.00305778206086278,0.9992597040482677,0.9992579227064949,10000,350.1636045110714,0.016143058838981317,0.013681010848020411,0.9844569707884968,0.9844382948747551,0.028104335091543975,0.2616,0.26914
62,0.0032983643397661746,0.0029071335273461855,0.9993270754053754,0.9993254561763528,10000,85.78025530211931,0.01618542793195602,0.013633103861224544,0.9843284128373363,0.9843095824532417,0.025478303003342417,0.2919,0.27266
63,0.0032085241390038604,0.002888927543742188,0.9993411950783334,0.9993396098248624,10000,235.24434220554363,0.01590700710965524,0.013507438511722593,0.9843699894315046,0.984351209004267,0.032232871654668926,0.3001,0.27634
64,0.0033845279944277763,0.0030190438241502727,0.9992659345616758,0.999264168212115,10000,103.0199363376151,0.01641640103543252,0.014090191581750088,0.9834980137356518,0.9834781855755265,0.02297294065465061,0.2683,0.28684
65,0.003381720024759724,0.002999676162457952,0.9992840060945941,0.9992822832297726,10000,208.25623211488957,0.016213692012259962,0.013666363079127625,0.9838032888766973,0.9837838275235903,0.02368511222724412,0.2857,0.27536
66,0.0031822310827062336,0.0028491943743499002,0.9993417405109407,0.9993401565699204,10000,7.130866459857464,0.01572083921970613,0.01326173872839976,0.9848687686810558,0.9848505875680261,0.03143850714005625,0.2898,0.28042
67,0.0032316788612939164,0.0028621237277717875,0.9993607457363962,0.9993592075268186,10000,212.13566652231626,0.01650219388042756,0.013770006902307569,0.983519333095483,0.9834995305518909,0.027816924661088094,0.2945,0.2862
68,0.0030813245264445063,0.002755538231571956,0.9993994494625729,0.999398004384079,10000,339.41516561008945,0.016159146152833915,0.013629282319471287,0.984061196226019,0.9840420447645903,0.03265982455196248,0.2846,0.28276
69,0.00326209724066089,0.0029311815556035217,0.9993329769311293,0.9993313719026901,10000,159.56037571942463,0.016341361072455023,0.013678548180418963,0.9839462243343099,0.9839269347270216,0.02818715151493345,0.2692,0.27562
70,0.003049838424432051,0.002646176711958738,0.9994297754650155,0.999428403358655,10000,346.97322004803436,0.016426471247043987,0.013700463298252882,0.9837435189408312,0.9837239857704387,0.0268259499798289,0.2731,0.27952
71,0.0030788668343786274,0.002692407404705051,0.9994189128413908,0.9994175145967742,10000,115.0502231048572,0.016491971008946057,0.013857425114836898,0.9839033205600961,0.9838839794012617,0.02854511224823708,0.2914,0.27798
72,0.0030426981069792314,0.0027599663906748514,0.9994100398549298,0.9994086202596338,10000,487.7503546352974,0.01645832868599035,0.01390794218927727,0.9841172821661809,0.9840981980954884,0.028072021919222756,0.2774,0.27782
73,0.0032064993617886926,0.0028166560401794746,0.9993707872584071,0.9993692732113049,10000,266.5767242054885,0.016235266106368555,0.01374326181638293,0.9841753580819603,0.9841563437930831,0.02387070449489237,0.2891,0.2811
74,0.003320217782995462,0.0029307713899880895,0.9993368860347848,0.9993352904126507,10000,396.21688839315163,0.0167485008484479,0.013928927726156167,0.9834692424120288,0.9834493796813734,0.036546783612089184,0.2825,0.28148
75,0.003245496912105658,0.0028174464028127557,0.9993325447441763,0.9993309386757845,10000,331.9319139107267,0.016370898764772508,0.013872987266267248,0.9841412410423607,0.9841221857597441,0.02680730542518539,0.2707,0.27978
76,0.0031391745547869917,0.002860447552500576,0.9993593591538658,0.9993578176078153,10000,294.6433700231645,0.016484087908361904,0.013690604549987427,0.9844481794356906,0.9844294929585933,0.032534802256338646,0.2746,0.27798
77,0.0030345991092947324,0.0027127160635125277,0.9994258990478797,0.9994245176138662,10000,362.0284139945635,0.01626303266739938,0.013551953776729162,0.9847430695923307,0.9847247374440488,0.02989757995492015,0.2964,0.28222
